UN-Nummer;Benennung und Beschreibung;Klasse;Klassifizierungscode;Verpackungsgruppe;Gefahrzettel;Sondervorschriften;Begrenzte und freigestellte Mengen A;Begrenzte und freigestellte Mengen B;Verpackung_Anweisungen;Verpackung_Sondervorschriften;Verpackung_Zusammenpackung;Tank_Anweisungen;Tank_Sondervorschriften;ADR-Tanks_Tankcodierung;ADR-Tanks_Sondervorschriften;Fahrzeug_Befoerderung_Tanks;Befoerderungskategorie;Sondervorschriften_Versandstuecke;Sondervorschriften_SchuettGut;Sondervorschriften_Handhabung;Sondervorschriften_Betrieb;Nummer_Gefahr
2402;PROPANTHIOLE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2403;ISOPROPENYLACETAT;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2404;PROPIONITRIL;3;FT1;II;3+6.1;-;1 L;E0;P001 IBC02;-;MP19;T7;TP1;L4BH;TU15;FL;2 (D/E);-;-;CV13 CV28;S2 S19;336
2405;ISOPROPYLBUTYRAT;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2406;ISOPROPYLISOBUTYRAT;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2407;ISOPROPYLCHLORFORMIAT;6.1;TFC;I;6.1+3 +8;354;0;E0;P602;-;MP8 MP17;-;-;-;-;-;1 (D);-;-;CV1 CV13 CV28;S2 S9 S14;-
2409;ISOPROPYLPROPIONAT;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2410;1,2,3,6TETRAHYDROPYRIDIN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2411;BUTYRONITRIL;3;FT1;II;3+6.1;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;TU15;FL;2 (D/E);-;-;CV13 CV28;S2 S19;336
2412;TETRAHYDROTHIOPHEN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2413;TETRAPROPYLORTHOTITANAT;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2414;THIOPHEN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2416;TRIMETHYLBORAT;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T7;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2417;CARBONYLFLUORID;2;2TC;-;2.3+8;-;0;E0;P200;-;MP9;(M);-;PxBH(M);TA4 TT9;AT;1 (C/D);-;-;CV9 CV10 CV36;S14;268
2418;SCHWEFELTETRAFLUORID;2;2TC;-;2.3+8;-;0;E0;P200;-;MP9;-;-;-;-;-;1 (D);-;-;CV9 CV10 CV36;S14;-
2419;BROMTRIFLUORETHYLEN;2;2F;-;2.1;662;0;E0;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;FL;2 (B/D);-;-;CV9 CV10 CV36;S2 S20;23
2420;HEXAFLUORACETON;2;2TC;-;2.3+8;-;0;E0;P200;-;MP9;(M);-;PxBH(M);TA4 TT9;AT;1 (C/D);-;-;CV9 CV10 CV36;S14;268
2421;DISTICKSTOFFTRIOXID;2;2TOC;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN
2422;OCTAFLUORBUT-2-EN (GAS ALS KÄLTEMITTEL R 1318);2;2A;-;2.2;662;120 ml;E1;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;AT;3 (C/E);-;-;CV9 CV10 CV36;-;20
2424;OCTAFLUORPROPAN (GAS ALS KÄLTEMITTEL R 218);2;2A;-;2.2;662;120 ml;E1;P200;-;MP9;T50 (M);-;PxBN(M);TA4 TT9;AT;3 (C/E);-;-;CV9 CV10 CV36;-;20
2426;AMMONIUMNITRAT, FLÜSSIG (heisse konzentrierte Lösung);5.1;O1;-;5.1;252 644;0;E0;-;-;-;T7;TP1 TP16 TP17;L4BV(+);TU3 TU12 TU29 TC3 TE9 TE10 TA1;AT;0 (E);-;-;-;S23;59
2427;KALIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;II;5.1;-;1 L;E2;P504 IBC02;-;MP2;T4;TP1;L4BN;TU3;AT;2 (E);-;-;CV24;-;50
2427;KALIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;III;5.1;-;5 L;E1;P504 IBC02 R001;-;MP2;T4;TP1;LGBV;TU3;AT;3 (E);-;-;CV24;-;50
2428;NATRIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;II;5.1;-;1 L;E2;P504 IBC02;-;MP2;T4;TP1;L4BN;TU3;AT;2 (E);-;-;CV24;-;50
2428;NATRIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;III;5.1;-;5 L;E1;P504 IBC02 R001;-;MP2;T4;TP1;LGBV;TU3;AT;3 (E);-;-;CV24;-;50
2429;CALCIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;II;5.1;-;1 L;E2;P504 IBC02;-;MP2;T4;TP1;L4BN;TU3;AT;2 (E);-;-;CV24;-;50
2429;CALCIUMCHLORAT, WÄSSERIGE LÖSUNG;5.1;O1;III;5.1;-;5 L;E1;P504 IBC02 R001;-;MP2;T4;TP1;LGBV;TU3;AT;3 (E);-;-;CV24;-;50
2430;ALKYLPHENOLE, FEST, N.A.G. (einschliesslich C2-C12Homologe);8;C4;I;8;-;0;E0;P002 IBC07;-;MP18;T6;TP33;S10AN L10BH;-;AT;1 (E);V10;-;-;S20;88
2430;ALKYLPHENOLE, FEST, N.A.G. (einschliesslich C2-C12Homologe);8;C4;II;8;-;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAN L4BN;-;AT;2 (E);V11;-;-;-;80
2430;ALKYLPHENOLE, FEST, N.A.G. (einschliesslich C2-C12Homologe);8;C4;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV L4BN;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2431;ANISIDINE;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2432;N,N-DIETHYLANILIN;6.1;T1;III;6.1;279;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2433;CHLORNITROTOLUENE, FLÜSSIG;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2434;DIBENZYLDICHLORSILAN;8;C3;II;8;-;0;E0;P010;-;MP15;T10;TP2 TP7;L4BN;-;AT;2 (E);-;-;-;-;X80
2435;ETHYLPHENYLDICHLORSILAN;8;C3;II;8;-;0;E0;P010;-;MP15;T10;TP2 TP7;L4BN;-;AT;2 (E);-;-;-;-;X80
2436;THIOESSIGSÄURE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2437;METHYLPHENYLDICHLORSILAN;8;C3;II;8;-;0;E0;P010;-;MP15;T10;TP2 TP7;L4BN;-;AT;2 (E);-;-;-;-;X80
2438;TRIMETHYLACETYLCHLORID;6.1;TFC;I;6.1+3 +8;-;0;E0;P001;-;MP8 MP17;T14;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2439;NATRIUMHYDROGENDIFLUORID;8;C2;II;8;-;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;80
2440;ZINNTETRACHLORIDPENTAHYDRAT;8;C2;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2441;TITANTRICHLORID, PYROPHOR oder TITANTRICHLORIDMISCHUNGEN, PYROPHOR;4.2;SC4;I;4.2+8;537;0;E0;P404;-;MP13;-;-;-;-;-;0 (E);V1;-;-;S20;-
2442;TRICHLORACETYLCHLORID;8;C3;II;8;-;0;E0;P001;-;MP15;T7;TP2;L4BN;-;AT;2 (E);-;-;-;-;X80
2443;VANADIUMOXYTRICHLORID;8;C1;II;8;-;1 L;E0;P001 IBC02;-;MP15;T7;TP2;L4BN;-;AT;2 (E);-;-;-;-;80
2444;VANADIUMTETRACHLORID;8;C1;I;8;-;0;E0;P802;-;MP8 MP17;T10;TP2;L10BH;-;AT;1 (E);-;-;-;S20;X88
2446;NITROCRESOLE, FEST;6.1;T2;III;6.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAH L4BH;TU15 TE19;AT;2 (E);-;VC1 VC2 AP7;CV13 CV28;S9;60
2447;PHOSPHOR, WEISS, GESCHMOLZEN;4.2;ST3;I;4.2+ 6.1;-;0;E0;-;-;-;T21;TP3 TP7 TP26;L10DH(+);TU14 TU16 TU21 TE3 TE21;AT;0 (B/E);-;-;-;S20;446
2448;SCHWEFEL, GESCHMOLZEN;4.1;F3;III;4.1;538;0;E0;-;-;-;T1;TP3;LGBV(+);TU27 TE4 TE6;AT;3 (E);-;-;-;-;44
2451;STICKSTOFFTRIFLUORID;2;2O;-;2.2+ 5.1;662;0;E0;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;AT;3 (C/E);-;-;CV9 CV10 CV36;-;25
2452;ETHYLACETYLEN, STABILISIERT;2;2F;-;2.1;386 662 676;0;E0;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;FL;2 (B/D);V8;-;CV9 CV10 CV36;S2 S4 S20;239
2453;ETHYLFLUORID (GAS ALS KÄLTEMITTEL R 161);2;2F;-;2.1;662;0;E0;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;FL;2 (B/D);-;-;CV9 CV10 CV36;S2 S20;23
2454;METHYLFLUORID (GAS ALS KÄLTEMITTEL R 41);2;2F;-;2.1;662;0;E0;P200;-;MP9;(M);-;PxBN(M);TA4 TT9;FL;2 (B/D);-;-;CV9 CV10 CV36;S2 S20;23
2455;METHYLNITRIT;2;2A;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN
2456;2-CHLORPROPEN;3;F1;I;3;-;0;E3;P001;-;MP7 MP17;T11;TP2;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
2457;2,3-DIMETHYLBUTAN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T7;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2458;HEXADIENE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2459;2-METHYLBUT-1-EN;3;F1;I;3;-;0;E3;P001;-;MP7 MP17;T11;TP2;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
2460;2-METHYLBUT-2-EN;3;F1;II;3;-;1 L;E2;P001 IBC02;B8;MP19;T7;TP1;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
2461;METHYLPENTADIENE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2463;ALUMINIUMHYDRID;4.3;W2;I;4.3;-;0;E0;P403;-;MP2;-;-;-;-;-;1 (E);V1;-;CV23;S20;-
2464;BERYLLIUMNITRAT;5.1;OT2;II;5.1+ 6.1;-;1 kg;E2;P002 IBC08;B4;MP2;T3;TP33;SGAN;TU3;AT;2 (E);V11;-;CV24 CV28;-;56
2465;DICHLORISOCYANURSÄURE, TROCKEN oder DICHLORISOCYANURSÄURESALZE;5.1;O2;II;5.1;135;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAN;TU3;AT;2 (E);V11;-;CV24;-;50
2466;KALIUMSUPEROXID;5.1;O2;I;5.1;-;0;E0;P503 IBC06;-;MP2;-;-;-;-;-;1 (E);V10;-;CV24;S20;-
2468;TRICHLORISOCYANURSÄURE, TROCKEN;5.1;O2;II;5.1;-;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAN;TU3;AT;2 (E);V11;-;CV24;-;50
2469;ZINKBROMAT;5.1;O2;III;5.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;TU3;AT;3 (E);-;VC1 VC2 AP6 AP7;CV24;-;50
2470;PHENYLACETONITRIL, FLÜSSIG;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2471;OSMIUMTETROXID;6.1;T5;I;6.1;-;0;E5;P002 IBC07;PP30;MP18;T6;TP33;S10AH;TU15 TE19;AT;1 (C/E);V10;-;CV1 CV13 CV28;S9 S14;66
2473;NATRIUMARSANILAT;6.1;T3;III;6.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAH L4BH;TU15 TE19;AT;2 (E);-;VC1 VC2 AP7;CV13 CV28;S9;60
2474;THIOPHOSGEN;6.1;T1;I;6.1;279 354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;AT;1 (C/D);-;-;CV1 CV13 CV28;S9 S14;66
2475;VANADIUMTRICHLORID;8;C2;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2477;METHYLISOTHIOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2478;ISOCYANATE, ENTZÜNDBAR, GIFTIG, N.A.G. oder ISOCYANAT, LÖSUNG, ENTZÜNDBAR, GIFTIG, N.A.G.;3;FT1;II;3+6.1;274 539;1 L;E2;P001 IBC02;-;MP19;T11;TP2 TP27;L4BH;TU15;FL;2 (D/E);-;-;CV13 CV28;S2 S19;336
2478;ISOCYANATE, ENTZÜNDBAR, GIFTIG, N.A.G. oder ISOCYANAT, LÖSUNG, ENTZÜNDBAR, GIFTIG, N.A.G.;3;FT1;III;3+6.1;274;5 L;E1;P001 IBC03 R001;-;MP19;T7;TP1 TP28;L4BH;TU15;FL;3 (D/E);V12;-;CV13 CV28;S2;36
2480;METHYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P601;-;MP2;T22;TP2;L15CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2481;ETHYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L15CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2482;n-PROPYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2483;ISOPROPYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2484;tert-BUTYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2485;n-BUTYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2486;ISOBUTYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2487;PHENYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2488;CYCLOHEXYLISOCYANAT;6.1;TF1;I;6.1+3;354;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);-;-;CV1 CV13 CV28;S2 S9 S14;663
2490;DICHLORISOPROPYLETHER;6.1;T1;II;6.1;-;100 ml;E4;P001 IBC02;-;MP15;T7;TP2;L4BH;TU15 TE19;AT;2 (D/E);-;-;CV13 CV28;S9 S19;60
2491;ETHANOLAMIN oder ETHANOLAMIN, LÖSUNG;8;C7;III;8;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BN;-;AT;3 (E);V12;-;-;-;80
2493;HEXAMETHYLENIMIN;3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
2495;IODPENTAFLUORID;5.1;OTC;I;5.1+ 6.1+8;-;0;E0;P200;-;MP2;-;-;L10DH;TU3;AT;1 (B/E);-;-;CV24 CV28;S20;568
2496;PROPIONSÄUREANHYDRID;8;C3;III;8;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BN;-;AT;3 (E);V12;-;-;-;80
2498;1,2,3,6-TETRAHYDROBENZALDEHYD;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2501;TRIS-(1-AZIRIDINYL)PHOSPHINOXID, LÖSUNG;6.1;T1;II;6.1;-;100 ml;E4;P001 IBC02;-;MP15;T7;TP2;L4BH;TU15 TE19;AT;2 (D/E);-;-;CV13 CV28;S9 S19;60
2501;TRIS-(1-AZIRIDINYL)PHOSPHINOXID, LÖSUNG;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2502;VALERYLCHLORID;8;CF1;II;8+3;-;1 L;E2;P001 IBC02;-;MP15;T7;TP2;L4BN;-;FL;2 (D/E);-;-;-;S2;83
2503;ZIRKONIUMTETRACHLORID;8;C2;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2504;TETRABROMETHAN;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2505;AMMONIUMFLUORID;6.1;T5;III;6.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAH;TU15 TE19;AT;2 (E);-;VC1 VC2 AP7;CV13 CV28;S9;60
2506;AMMONIUMHYDROGENSULFAT;8;C2;II;8;-;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAV;-;AT;2 (E);V11;VC1 VC2 AP7;-;-;80
2507;HEXACHLORPLATINSÄURE, FEST;8;C2;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2508;MOLYBDÄNPENTACHLORID;8;C2;III;8;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP7;-;-;80
2509;KALIUMHYDROGENSULFAT;8;C2;II;8;-;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAV;-;AT;2 (E);V11;VC1 VC2 AP7;-;-;80
2511;alphaCHLORPROPIONSÄURE;8;C3;III;8;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP2;L4BN;-;AT;3 (E);V12;-;-;-;80
2512;AMINOPHENOLE (o-, m-, p-);6.1;T2;III;6.1;279;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAH L4BH;TU15 TE19;AT;2 (E);-;VC1 VC2 AP7;CV13 CV28;S9;60
2513;BROMACETYLBROMID;8;C3;II;8;-;1 L;E2;P001 IBC02;-;MP15;T8;TP2;L4BN;-;AT;2 (E);-;-;-;-;X80
2514;BROMBENZEN;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2515;BROMOFORM;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2516;TETRABROMKOHLENSTOFF;6.1;T2;III;6.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAH L4BH;TU15 TE19;AT;2 (E);-;VC1 VC2 AP7;CV13 CV28;S9;60
2517;1-CHLOR-1,1DIFLUORETHAN (GAS ALS KÄLTEMITTEL R 142b);2;2F;-;2.1;662;0;E0;P200;-;MP9;T50 (M);-;PxBN(M);TA4 TT9;FL;2 (B/D);-;-;CV9 CV10 CV36;S2 S20;23
2518;1,5,9-CYCLODODECATRIEN;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2520;CYCLOOCTADIENE;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2521;DIKETEN, STABILISIERT;6.1;TF1;I;6.1+3;354 386 676;0;E0;P602;-;MP8 MP17;T20;TP2;L10CH;TU14 TU15 TE19 TE21;FL;1 (C/D);V8;-;CV1 CV13 CV28;S2 S4 S9 S14;663
2522;2-DIMETHYLAMINOETHYLMETHACRYLAT, STABILISIERT;6.1;T1;II;6.1;386 676;100 ml;E4;P001 IBC02;386;MP15;T7;TP2;L4BH;TU15 TE19;AT;2 (D/E);V8;-;CV13 CV28;S4 S9 S19;69
2524;ETHYLORTHOFORMIAT;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2525;ETHYLOXALAT;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2526;FURFURYLAMIN;3;FC;III;3+8;-;5 L;E1;P001 IBC03 R001;-;MP19;T4;TP1;L4BN;-;FL;3 (D/E);V12;-;-;S2;38
2527;ISOBUTYLACRYLAT, STABILISIERT;3;F1;III;3;386 676;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V8 V12;-;-;S2 S4;39
2528;ISOBUTYLISOBUTYRAT;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2529;ISOBUTTERSÄURE;3;FC;III;3+8;-;5 L;E1;P001 IBC03 R001;-;MP19;T4;TP1;L4BN;-;FL;3 (D/E);V12;-;-;S2;38
2531;METHACRYLSÄURE, STABILISIERT;8;C3;II;8;386 676;1 L;E2;P001 IBC02 LP01;-;MP15;T7;TP2 TP18 TP30;L4BN;-;AT;2 (E);V8;-;-;S4;89
2533;METHYLTRICHLORACETAT;6.1;T1;III;6.1;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1;L4BH;TU15 TE19;AT;2 (E);V12;-;CV13 CV28;S9;60
2534;METHYLCHLORSILAN;2;2TFC;-;2.3+ 2.1+8;-;0;E0;P200;-;MP9;(M);-;-;-;FL;1 (B/D);-;-;CV9 CV10 CV36;S2 S14;263
2535;4-METHYLMORPHOLIN (NMETHYLMORPHOLIN);3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
2536;METHYLTETRAHYDROFURAN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
2538;NITRONAPHTHALEN;4.1;F1;III;4.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
2541;TERPINOLEN;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
2542;TRIBUTYLAMIN;6.1;T1;II;6.1;-;100 ml;E4;P001 IBC02;-;MP15;T7;TP2;L4BH;TU15 TE19;AT;2 (D/E);-;-;CV13 CV28;S9 S19;60
2545;HAFNIUM-PULVER, TROCKEN;4.2;S4;I;4.2;540;0;E0;P404;-;MP13;-;-;-;-;-;0 (E);V1;-;-;S20;-
2545;HAFNIUM-PULVER, TROCKEN;4.2;S4;II;4.2;540;0;E2;P410 IBC06;-;MP14;T3;TP33;SGAN;-;AT;2 (D/E);V1;-;-;-;40
2545;HAFNIUM-PULVER, TROCKEN;4.2;S4;III;4.2;540;0;E1;P002 IBC08 LP02 R001;B3;MP14;T1;TP33;SGAN;-;AT;3 (E);V1;VC1 VC2 AP1;-;-;40
2546;TITAN-PULVER, TROCKEN;4.2;S4;I;4.2;540;0;E0;P404;-;MP13;-;-;-;-;-;0 (E);V1;-;-;S20;-
